type,report,title,attachedFile,shopCode,year,hatsujun,period,customerNumberFrom, customerNumberTo,expirationDate,outputDate
,SAMPLE1,document_name_20001,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20002,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20003,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20004,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20005,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20006,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20007,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20008,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20009,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20010,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20011,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20012,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20013,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20014,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20015,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20016,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20017,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20018,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20019,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20020,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20021,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20022,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20023,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20024,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20025,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20026,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20027,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20028,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20029,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20030,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20031,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20032,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20033,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20034,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20035,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20036,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20037,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20038,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20039,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20040,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20041,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20042,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20043,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20044,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20045,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20046,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20047,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20048,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20049,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20050,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20051,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20052,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20053,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20054,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20055,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20056,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20057,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20058,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20059,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20060,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20061,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20062,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20063,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20064,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20065,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20066,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20067,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20068,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20069,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
,SAMPLE1,document_name_20070,SimpleEntity.csv,1,2021,21,202112,11111,99999,2021/12/31,2021/12/31 13:00:00
